sim,min_dist,avg_dist,overlap_amount
267,0.214724,0.618383,0.012876
268,0.209322,0.617181,0.018278
269,0.209280,0.618617,0.018320
270,0.205092,0.617857,0.022508
271,0.212530,0.621656,0.015070
272,0.212728,0.618215,0.014872
273,0.216400,0.615319,0.011200
274,0.212573,0.618658,0.015027
275,0.213559,0.621628,0.014041
276,0.207876,0.619776,0.019724
277,0.208850,0.617951,0.018750
278,0.205040,0.619110,0.022560
279,0.215475,0.620728,0.012125
280,0.210889,0.619756,0.016711
281,0.200090,0.618461,0.027510
282,0.208052,0.611507,0.019548
283,0.209816,0.618598,0.017784
284,0.213219,0.616271,0.014381
285,0.212635,0.618866,0.014965
286,0.213849,0.617165,0.013751
287,0.210192,0.619322,0.017408
288,0.198603,0.615478,0.028997
289,0.213574,0.618644,0.014026
290,0.209232,0.621466,0.018368
291,0.212304,0.614181,0.015296
292,0.208626,0.619435,0.018974
293,0.206959,0.612130,0.020641
294,0.213337,0.615846,0.014263
295,0.205885,0.622164,0.021715
296,0.212098,0.617738,0.015502
297,0.211738,0.623156,0.015862
298,0.213778,0.617902,0.013822
299,0.212381,0.617377,0.015219
300,0.207738,0.619755,0.019862
