num_spheres=89,sphere_radius=0.1138,best_known_diameter=0.22753939547,num_samples=1000,dt=0.03,max_iter=2500,tol=1e-09,boundary_mode=stophit
################################################################################
sample_index,min_distance,avg_distance,excess
665,0.213790,0.618806,0.013749
666,0.211558,0.620065,0.015981
667,0.208263,0.620737,0.019277
668,0.215896,0.621596,0.011643
669,0.211846,0.625750,0.015693
670,0.216625,0.622361,0.010915
671,0.209138,0.622643,0.018401
672,0.211501,0.621344,0.016038
673,0.213741,0.620477,0.013798
674,0.210458,0.622742,0.017082
675,0.213069,0.620335,0.014471
676,0.212638,0.625084,0.014902
677,0.212381,0.625276,0.015159
678,0.208229,0.618749,0.019310
679,0.208167,0.621024,0.019372
680,0.212132,0.622924,0.015408
681,0.211107,0.618507,0.016433
682,0.210115,0.619278,0.017425
683,0.211819,0.615317,0.015720
684,0.209373,0.619250,0.018166
685,0.209586,0.614334,0.017954
686,0.216268,0.623057,0.011272
687,0.210343,0.624728,0.017197
688,0.214679,0.621275,0.012861
689,0.212674,0.620645,0.014865
690,0.213708,0.617457,0.013831
691,0.209510,0.621882,0.018029
692,0.208660,0.619711,0.018880
693,0.214803,0.621751,0.012736
694,0.203648,0.619087,0.023891
695,0.212395,0.621647,0.015145
696,0.212967,0.619818,0.014572
697,0.216343,0.623013,0.011197
698,0.191722,0.618714,0.035817
699,0.213668,0.620586,0.013871
700,0.212047,0.624779,0.015493
701,0.211695,0.617983,0.015845
702,0.213534,0.621955,0.014005
703,0.214006,0.618900,0.013534
704,0.211710,0.625155,0.015830
705,0.214363,0.616009,0.013177
706,0.200046,0.619758,0.027493
707,0.209555,0.616731,0.017985
708,0.209074,0.616490,0.018465
709,0.207148,0.621928,0.020391
710,0.208579,0.624094,0.018961
711,0.213108,0.619564,0.014432
712,0.211557,0.622180,0.015982
713,0.208797,0.620553,0.018743
714,0.211912,0.615710,0.015627
715,0.204573,0.621025,0.022967
716,0.209246,0.620681,0.018294
717,0.215476,0.617891,0.012064
718,0.213119,0.620024,0.014421
